SubDoc:,Name:,Rows:,ColumnCount:,ColumnNames
10-K,Executive Officers of the Registrant,7,3,"Name, Age, Position"
,Board of Directors,9,3,"Name, Age, Position"
,Properties,7,4,"Description of Use, Leased SquareFootage, Owned Square Footage, Location"
,Selected Consolidated Financial Data,11,6,"Line Item, YE12/31/2014, YE12/31/2015, YE12/31/2016, YE12/31/2017, YE12/31/2018"
,Liquidity and Capital Resources,4,4,"Line Item, YE12/31/2016, YE12/31/2017, YE12/31/2018"
,Results of Operations,20,4,"Line Item, YE12/31/2016, YE12/31/2017, YE12/31/2018"
,Non-GAAP Financial Measures,5,4,"Line Item, YE12/31/2016, YE12/31/2017, YE12/31/2018"
,Interest Rate Risk,14,9,"Line Item, 2019, 2020, 2021, 2022, 2023, Thereafter, Total, Estimated Fair Value as of December 31, 2018"
,INDEX TO CONSOLIDATED FINANCIAL STATEMENTS,7,2,"Line Item, Page"
,(in millions),38,4,"Line Item, YE12/31/2016, YE12/31/2017, YE12/31/2018"
,CONSOLIDATED STATEMENTS OF OPERATIONS,25,4,"Line Item, YE12/31/2016, YE12/31/2017, YE12/31/2018"
,CONSOLIDATED STATEMENTS OF COMPREHENSIVE INCOME,9,4,"Line Item, YE12/31/2016, YE12/31/2017, YE12/31/2018"
,CONSOLIDATED BALANCE SHEETS,32,2,"Line Item, December 31"
,(in millions)_2,19,2,"Line Item, Common Stock"
,Earnings per Share,3,4,"Line Item, YE12/31/2016, YE12/31/2017, YE12/31/2018"
,"Note 2 -- CASH, CASH EQUIVALENTS, RESTRICTED CASH, AND MARKETABLE SECURITIES",13,2,"Line Item, December 31, 2017"
,Note 3 -- PROPERTY AND EQUIPMENT,8,2,"Line Item, December 31"
,Purchase Price Allocation,17,2,"Line Item, December 31"
,Goodwill,7,5,"Line Item, NorthAmerica, International, AWS, Consolidated"
,Intangible Assets,5,2,"Line Item, December 31"
,Note 5 -- DEBT,19,2,"Line Item, December 31"
,Note 6 -- OTHER LONG-TERM LIABILITIES,7,2,"Line Item, December 31"
,Capital and Finance Leases,5,2,"Line Item, December 31, 2018"
,Commitments,7,8,"Line Item, YE12/31/2019, YE12/31/2020, YE12/31/2021, YE12/31/2022, YE12/31/2023, Thereafter, Total"
,Stock Award Activity,6,4,"Line Item, YE12/31/2016, YE12/31/2017, YE12/31/2018"
,Note 9 -- INCOME TAXES,11,4,"Line Item, YE12/31/2016, YE12/31/2017, YE12/31/2018"
,Note 11 -- QUARTERLY RESULTS (UNAUDITED),10,5,"Line Item, FirstQuarter, SecondQuarter, ThirdQuarter, FourthQuarter"
,"Exhibits, Financial Statement Schedules",9,2,"Exhibit Number, Description"
,SIGNATURES,2,2,"Line Item, Jeffrey P. Bezos"
,and Chairman of the Board,11,2,"Signature, Title"
EXHIBIT 21.1,LIST OF SIGNIFICANT SUBSIDIARIES,5,3,"Legal Name, Jurisdiction, Percent Owned"
EXHIBIT 31.1,CERTIFICATIONS,1,2,"Line Item, Jeffrey P. Bezos"
EXHIBIT 31.2,CERTIFICATIONS,1,2,"Line Item, Brian T. Olsavsky"
EXHIBIT 32.1,Certification Pursuant to 18 U.S.C. Section 1350,1,2,"Line Item, Jeffrey P. Bezos"
EXHIBIT 32.2,Certification Pursuant to 18 U.S.C. Section 1350,1,2,"Line Item, Brian T. Olsavsky"
